week_monday,company_id,ticker,simple_mean_stance,n_articles,n_days_covered,has_data,is_imputed
2023-07-10,14,V,0.023764938932496,64.0,7.0,True,False
2023-07-17,14,V,0.1476680223252937,103.0,7.0,True,False
2023-07-24,14,V,-0.0020424952237996,116.0,7.0,True,False
2023-07-31,14,V,-0.0084539354746444,84.0,7.0,True,False
2023-08-07,14,V,-0.0410888233195376,71.0,7.0,True,False
2023-08-14,14,V,-0.0484540600907029,76.0,7.0,True,False
2023-08-21,14,V,-0.1433326524659864,72.0,7.0,True,False
2023-08-28,14,V,-0.0919802176562932,78.0,7.0,True,False
2023-09-04,14,V,0.0066622563339438,78.0,7.0,True,False
2023-09-11,14,V,0.021535600595238,100.0,7.0,True,False
2023-09-18,14,V,-0.1458511480785296,123.0,7.0,True,False
2023-09-25,14,V,0.074775986974919,91.0,7.0,True,False
2023-10-02,14,V,-0.0382482906395891,96.0,7.0,True,False
2023-10-09,14,V,-0.025653104708199,83.0,7.0,True,False
2023-10-16,14,V,-0.1880393031468531,68.0,7.0,True,False
2023-10-23,14,V,-0.0093108403540903,86.0,7.0,True,False
2023-10-30,14,V,-0.0514572034413765,75.0,7.0,True,False
2023-11-06,14,V,-0.0056874743712636,71.0,7.0,True,False
2023-11-13,14,V,-0.0769706720372359,102.0,7.0,True,False
2023-11-20,14,V,-0.0481056552566481,69.0,7.0,True,False
2023-11-27,14,V,-0.0706955828434723,71.0,7.0,True,False
2023-12-04,14,V,-0.0418810003746953,101.0,7.0,True,False
2023-12-11,14,V,-0.1080865165120593,77.0,7.0,True,False
2023-12-18,14,V,-0.0757375524891774,54.0,7.0,True,False
2023-12-25,14,V,-0.0781339798319327,58.0,7.0,True,False
2024-01-01,14,V,-0.127778541025641,44.0,7.0,True,False
2024-01-08,14,V,0.0560596542517006,62.0,7.0,True,False
2024-01-15,14,V,0.0901541130952381,57.0,7.0,True,False
2024-01-22,14,V,-0.0731364628439229,70.0,7.0,True,False
2024-01-29,14,V,-0.0860770238464951,65.0,7.0,True,False
2024-02-05,14,V,-0.0119080663292847,79.0,6.0,True,False
2024-02-12,14,V,-0.0462964763056737,69.0,7.0,True,False
2024-02-19,14,V,-0.076053871140764,60.0,7.0,True,False
2024-02-26,14,V,-0.0741863123582766,94.0,7.0,True,False
2024-03-04,14,V,0.1083984201298701,57.0,7.0,True,False
2024-03-11,14,V,-0.0061507603785103,69.0,7.0,True,False
2024-03-18,14,V,-0.045552794047619,71.0,7.0,True,False
2024-03-25,14,V,-0.0194667342822257,121.0,7.0,True,False
2024-04-01,14,V,0.0729261808673469,70.0,7.0,True,False
2024-04-08,14,V,-0.0785962571995464,72.0,7.0,True,False
2024-04-15,14,V,0.1215390597190391,67.0,7.0,True,False
2024-04-22,14,V,-0.1237552822588901,74.0,7.0,True,False
