ticker,week_monday,gap_type,method,imputed_value
ABNB,2024-03-18,B,linear_interpolation,0.20403377142857143
ABNB,2024-03-25,B,linear_interpolation,0.1641458857142857
ABNB,2024-04-15,B,linear_interpolation,-0.19281922222222223
ABNB,2024-04-22,B,linear_interpolation,-0.20990244444444445
ABNB,2024-04-29,B,linear_interpolation,-0.22698566666666667
ABNB,2024-05-13,A,forward_fill,-0.2440688888888889
ABNB,2024-05-20,A,forward_fill,-0.2440688888888889
ABNB,2024-06-10,A,forward_fill,-0.796236
ABNB,2024-07-01,A,forward_fill,-0.4201525
ABNB,2024-07-15,A,forward_fill,0.3896005
ABNB,2024-07-22,A,forward_fill,0.3896005
ABNB,2024-08-26,A,forward_fill,-0.757462
ABNB,2024-09-09,B,linear_interpolation,0.3094719537037037
ABNB,2024-09-16,B,linear_interpolation,0.35526646296296294
ABNB,2024-09-23,B,linear_interpolation,0.4010609722222222
ABNB,2024-09-30,B,linear_interpolation,0.44685548148148146
ABNB,2024-10-07,B,linear_interpolation,0.49264999074074073
ABNB,2024-10-28,A,forward_fill,-0.195209
ABNB,2024-11-11,B,linear_interpolation,-0.7552670000000001
ABNB,2024-11-18,B,linear_interpolation,-0.7992106666666667
ABNB,2024-11-25,B,linear_interpolation,-0.8431543333333333
ABNB,2024-12-09,B,linear_interpolation,-0.77578375
ABNB,2024-12-16,B,linear_interpolation,-0.6644695
ABNB,2024-12-23,B,linear_interpolation,-0.55315525
ABNB,2024-12-30,B,linear_interpolation,-0.441841
ABNB,2025-01-06,B,linear_interpolation,-0.33052675
ABNB,2025-01-20,A,forward_fill,-0.2192124999999999
ABNB,2025-02-03,A,forward_fill,-0.839519
ABNB,2025-03-03,B,linear_interpolation,0.48509837499999997
ABNB,2025-03-10,B,linear_interpolation,0.44266275
ABNB,2025-03-17,B,linear_interpolation,0.40022712499999996
ABNB,2025-03-24,B,linear_interpolation,0.3577915
ABNB,2025-03-31,B,linear_interpolation,0.315355875
ABNB,2025-04-07,B,linear_interpolation,0.27292025
ABNB,2025-04-14,B,linear_interpolation,0.230484625
ABNB,2025-06-30,A,forward_fill,-0.6613456666666667
ABNB,2025-07-07,A,forward_fill,-0.6613456666666667
ABNB,2025-07-21,A,forward_fill,-0.917185
ABNB,2025-08-18,A,forward_fill,0.5676865
ABNB,2025-08-25,A,forward_fill,0.5676865
ABNB,2025-09-15,A,forward_fill,0.5947315
ABNB,2025-09-29,A,forward_fill,-0.157065
ABNB,2025-10-27,A,forward_fill,0.886523
ABNB,2025-11-24,B,linear_interpolation,-0.363708625
