variable,coef,se_hc1,t_stat,p_value_hc1,ci95_low_hc1,ci95_high_hc1,month_label,se_day_cluster,t_stat_day_cluster,p_value_day_cluster,ci95_low_day_cluster,ci95_high_day_cluster
event_p4,0.042008118356389346,0.017429516499454286,2.4101711804630157,0.015945037245075486,0.007846266017458949,0.07616997069531975,p4,0.018727339986643443,2.243143894773632,0.02488753688412028,0.0053025319825682,0.0787137047302105
event_p5,0.046121520430918654,0.018136856960206792,2.5429720558590536,0.010991401908955202,0.010573280788913342,0.08166976007292397,p5,0.020559615925240214,2.2433065188876955,0.024877055293159478,0.005824673217447833,0.08641836764438948
event_p6,0.03219712991088764,0.018247876478389304,1.7644316010697594,0.07765934166715488,-0.00356870798675539,0.06796296780853067,p6,0.018468610023413295,1.7433434281231899,0.08127364372389019,-0.0040013457350024165,0.0683956055567777
event_p7,0.07443883910911203,0.017365520915390183,4.286588318991379,1.8143808660567452e-05,0.040402418114947276,0.1084752601032768,p7,0.017129248591100776,4.345715383439851,1.3882247774042833e-05,0.04086551187055451,0.10801216634766955
event_p8,0.08414945583373935,0.017984577281531775,4.678978800360895,2.8830724697173454e-06,0.048899684361937076,0.11939922730554163,p8,0.018551946744695326,4.535882783180193,5.736303475168372e-06,0.04778764021413651,0.1205112714533422
event_p9,0.08190756327343174,0.01775417737239286,4.613424860832764,3.960874946370479e-06,0.047109375623541734,0.11670575092332175,p9,0.017821343777649597,4.596037442258144,4.306013545513216e-06,0.046977729469238526,0.11683739707762494
event_p10,0.07773943343253811,0.018590149284376186,4.181754123829068,2.8926869649636463e-05,0.04130274083516079,0.11417612602991543,p10,0.01811809349229743,4.290707157769529,1.7810505302259816e-05,0.04222797018763515,0.11325089667744108
event_p11,0.049968403657444954,0.018623558590118345,2.6830749566819185,0.007294863819166084,0.013466228820812998,0.08647057849407691,p11,0.018370742682601814,2.7199991051405887,0.0065282092983938765,0.013961747999545401,0.08597505931534451
event_p12,0.06405373615013335,0.01879665361454175,3.407720196566219,0.0006550803006561456,0.02721229506563152,0.10089517723463517,p12,0.01751387103954794,3.6573145939863374,0.00025487149194949047,0.029726548912619388,0.09838092338764731
event_p13,0.09350685053133428,0.01850580451394769,5.052838986862682,4.3529084126277033e-07,0.05723547368399681,0.12977822737867176,p13,0.01829591893660169,5.110803718323775,3.2079114043418836e-07,0.057646849415594975,0.1293668516470736
event_p14,0.05350582285043152,0.018845701614508464,2.8391526059841556,0.004523351837524468,0.01656824768599493,0.09044339801486811,p14,0.019419064547489623,2.7553244245922452,0.0058633964437871285,0.015444456337351857,0.09156718936351119
event_p15,0.07997436658057505,0.01864525188127102,4.28926179650641,1.792679641182157e-05,0.04342967289328385,0.11651906026786625,p15,0.01895757335251005,4.218597237815048,2.4582695079751304e-05,0.04281752280965535,0.11713121035149475
event_p16,0.09945389823201181,0.01777113367067496,5.596373313882934,2.1888212852422143e-08,0.06462247623748889,0.13428532022653472,p16,0.01692268968685732,5.876955736489736,4.178798857786013e-09,0.06628542644577147,0.13262237001825217
event_p17,0.07478550817492433,0.0181666115404893,4.116645969351203,3.8442589256448807e-05,0.0391789495555653,0.11039206679428334,p17,0.018134359038980745,4.123967547690492,3.724013865274535e-05,0.039242164458522064,0.11032885189132659
event_p18,0.055498642442804336,0.01878073948643218,2.9550829179489106,0.0031258502752631477,0.01868839304939726,0.09230889183621141,p18,0.019210733926325583,2.888939207405883,0.0038654379609843474,0.017845603947206197,0.09315168093840248
event_p19,0.05451900209636179,0.0180799364903529,3.0154421242271545,0.0025660490583674076,0.019082326575270113,0.08995567761745346,p19,0.018747201793527225,2.9081141120049905,0.003636156282580213,0.01777448658104843,0.09126351761167514
event_p20,0.07648083631590827,0.017817482902428364,4.292460205222625,1.767042275624931e-05,0.04155856982714867,0.11140310280466786,p20,0.018175581073960386,4.2078894757032055,2.5776687981075767e-05,0.040856697410945914,0.11210497522087062
event_p21,0.07534440676256698,0.01907119877927129,3.950690653198985,7.792599341274861e-05,0.03796485715519526,0.1127239563699387,p21,0.018396756180666066,4.095526734313609,4.212096147146997e-05,0.039286764648461495,0.11140204887667247
event_p22,0.05895211950723272,0.019180021181200713,3.0736211889596143,0.0021147777410667297,0.021359277992079324,0.0965449610223861,p22,0.01853867830723615,3.1799526660011197,0.0014729911067991306,0.022616310025049866,0.09528792898941557
event_p23,0.05093671152570711,0.019713484809863593,2.5838512072822892,0.009770393497349917,0.012298281298374472,0.08957514175303975,p23,0.017806228154213243,2.8606120894645874,0.0042282405467178414,0.016036504343449158,0.08583691870796506
event_p24,0.050394082102478276,0.01870493306257763,2.6941599808929615,0.007056628505867108,0.013732413299826121,0.08705575090513043,p24,0.019126546647512704,2.634771609909609,0.008419391306109317,0.012906050673353375,0.08788211353160318
article_volume,-0.0005716032361031251,0.00011686776016428328,-4.891025850924253,1.0031178752299797e-06,-0.0008006640460251203,-0.0003425424261811298,article_volume,0.00011586775471000092,-4.933238220881725,8.087741413314444e-07,-0.0007987040353347269,-0.0003445024368715232
