company_id,ticker,article_date,n_articles,mean_stance,median_stance,weighted_mean_stance
80,BA,2017-10-23,6,-0.1026805,-0.010137499999999994,-0.1026805
80,BA,2017-10-24,2,0.026148499999999998,0.026148499999999998,0.026148499999999998
80,BA,2017-10-25,10,0.1423649,0.1289915,0.1423649
80,BA,2017-10-26,5,-0.012250999999999995,0.00831,-0.012250999999999995
80,BA,2017-10-27,4,0.08974824999999999,0.3200925,0.08974824999999999
80,BA,2017-10-28,1,0.882282,0.882282,0.882282
80,BA,2017-10-29,5,0.004354199999999993,0.0308,0.004354199999999993
80,BA,2017-10-30,13,-0.38787884615384616,-0.380831,-0.38787884615384616
80,BA,2017-10-31,3,-0.3100096666666667,-0.308865,-0.3100096666666667
80,BA,2017-11-01,3,0.16841166666666665,0.118882,0.16841166666666665
80,BA,2017-11-02,2,-0.09374400000000001,-0.09374400000000001,-0.09374400000000001
80,BA,2017-11-03,5,-0.29654860000000005,-0.51064,-0.29654860000000005
80,BA,2017-11-04,4,0.039001499999999995,0.035656,0.039001499999999995
80,BA,2017-11-05,15,0.17172406666666667,0.044162,0.17172406666666667
80,BA,2017-11-06,1,0.024232,0.024232,0.024232
80,BA,2017-11-07,3,0.127854,0.034628,0.127854
80,BA,2017-11-08,1,-0.227699,-0.227699,-0.227699
80,BA,2017-11-09,12,0.2862500833333333,0.11914849999999999,0.2862500833333333
80,BA,2017-11-10,1,-0.345994,-0.345994,-0.345994
80,BA,2017-11-11,6,0.286039,0.1295985,0.286039
80,BA,2017-11-12,23,0.11139495652173913,0.06013,0.11139495652173913
80,BA,2017-11-13,7,-0.030035000000000003,0.025833,-0.030035000000000003
80,BA,2017-11-14,7,0.11589200000000001,0.024379,0.11589200000000001
80,BA,2017-11-15,11,0.00180372727272727,0.092408,0.00180372727272727
80,BA,2017-11-16,11,0.1637799090909091,0.085138,0.1637799090909091
80,BA,2017-11-17,12,0.099194,0.18044949999999998,0.099194
80,BA,2017-11-18,1,-0.851562,-0.851562,-0.851562
80,BA,2017-11-19,1,0.025793,0.025793,0.025793
80,BA,2017-11-20,3,-0.24625066666666665,-0.095433,-0.24625066666666665
80,BA,2017-11-21,8,0.10460362499999999,0.0113395,0.10460362499999999
80,BA,2017-11-22,13,-0.049971230769230775,-0.009167,-0.049971230769230775
80,BA,2017-11-23,11,-0.12022790909090908,-0.133998,-0.12022790909090908
80,BA,2017-11-24,3,-0.34125500000000003,-0.263659,-0.34125500000000003
80,BA,2017-11-25,3,-0.5612813333333334,-0.596337,-0.5612813333333334
80,BA,2017-11-26,1,0.060454,0.060454,0.060454
80,BA,2017-11-28,10,0.4901021,0.561356,0.4901021
80,BA,2017-11-29,9,0.441675,0.698885,0.441675
80,BA,2017-11-30,3,0.01996466666666667,0.014792,0.01996466666666667
80,BA,2017-12-01,4,0.294458,0.24112250000000002,0.294458
80,BA,2017-12-02,7,-0.42132085714285716,-0.531557,-0.42132085714285716
80,BA,2017-12-03,1,0.320556,0.320556,0.320556
80,BA,2017-12-04,4,0.106463,0.1251355,0.106463
80,BA,2017-12-05,1,-0.400664,-0.400664,-0.400664
80,BA,2017-12-06,5,0.04766780000000002,0.026756,0.04766780000000002
80,BA,2017-12-07,9,0.11899677777777778,0.051334,0.11899677777777778
80,BA,2017-12-08,10,0.07154920000000001,0.0527065,0.07154920000000001
80,BA,2017-12-09,3,0.10210233333333334,0.2299,0.10210233333333334
80,BA,2017-12-10,4,0.25408925,0.20586749999999998,0.25408925
80,BA,2017-12-11,5,0.1297474,0.364819,0.1297474
80,BA,2017-12-12,19,0.16996357894736844,-0.007609,0.16996357894736844
80,BA,2017-12-13,7,0.02972185714285715,0.064913,0.02972185714285715
80,BA,2017-12-14,8,-0.526106375,-0.5451495,-0.526106375
80,BA,2017-12-15,1,0.000695999999999999,0.000695999999999999,0.000695999999999999
80,BA,2017-12-16,1,-0.039696,-0.039696,-0.039696
80,BA,2017-12-17,5,0.2275892,-0.036345,0.2275892
80,BA,2017-12-18,2,0.444853,0.444853,0.444853
80,BA,2017-12-19,4,-0.43513225,-0.48567249999999995,-0.43513225
